rowID,region,listing_price,model_year,maker,vehicle_model,vehicle_condition,engine_cylinders,fuel_type,mileage,title_status,transmission,drivetrain,vehicle_size,vehicle_type,exterior_color,state,posting_date
7C9BFEF2,columbus,5495,2003,acura,tl,excellent,6,gas,128532,clean,automatic,fwd,mid-size,sedan,black,oh,4/16/2021
90CDC6BC,spokane / coeur d'alene,36860,2016,toyota,tacoma trd sport,excellent,6,gas,51565,clean,automatic,4wd,mid-size,truck,white,id,4/30/2021
FB22E411,treasure coast,12275,2012,toyota,prius,excellent,4,hybrid,81725,clean,automatic,fwd,mid-size,hatchback,grey,fl,4/20/2021
B8476332,detroit metro,8999,2013,ford,escape titanium awd,excellent,4,gas,126365,clean,automatic,4wd,compact,SUV,white,mi,5/1/2021
8E212BE3,college station,15500,2014,mazda,miata club,excellent,4,gas,60000,clean,automatic,rwd,compact,convertible,white,tx,4/21/2021
F5FD0AFE,akron / canton,18500,1987,chevrolet,camaro,like new,8,gas,59000,clean,automatic,rwd,mid-size,coupe,yellow,oh,4/30/2021
CF453DB9,monterey bay,23800,2012,chevrolet,silverado,like new,8,gas,44000,clean,automatic,rwd,full-size,pickup,brown,ca,4/22/2021
2BC97509,bakersfield,21950,2015,toyota,tacoma prerunner,excellent,6,gas,112081,clean,automatic,rwd,full-size,truck,white,ca,5/1/2021
1532DFB3,fresno / madera,10450,2010,bmw,3-series,excellent,6,gas,109805,clean,automatic,rwd,compact,sedan,white,ca,4/30/2021
FF2248FD,merced,16500,2003,ford,f250 super duty,good,8,diesel,232500,clean,automatic,4wd,full-size,truck,brown,ca,4/29/2021
A38F96DD,columbus,3995,2002,honda,accord ex,good,6,gas,121124,clean,automatic,fwd,compact,sedan,brown,oh,4/16/2021
19ACA097,albuquerque,2595,2003,ford,f-150,excellent,8,gas,149055,clean,automatic,4wd,full-size,pickup,red,nm,4/21/2021
B5389B74,south florida,5991,2009,honda,civic sdn,excellent,4,gas,136888,clean,automatic,fwd,sub-compact,sedan,silver,fl,4/29/2021
7278CA98,chattanooga,29988,2007,gmc,c8500,excellent,6,diesel,163063,clean,automatic,rwd,full-size,truck,white,tn,4/16/2021
7E1DA146,vermont,14988,2013,honda,cr-v,good,4,gas,115664,clean,automatic,4wd,full-size,SUV,black,vt,4/10/2021
0780B798,south florida,6599,2014,chevrolet,cruze,excellent,4,gas,79000,clean,manual,fwd,full-size,sedan,white,fl,4/29/2021
0D3E4975,vermont,22995,2019,nissan,altima,excellent,4,gas,21392,clean,automatic,4wd,mid-size,sedan,silver,vt,4/17/2021
41AEA0AD,hartford,4999,2012,honda,civic coupe ex,like new,4,gas,219000,clean,automatic,fwd,mid-size,coupe,blue,ct,5/3/2021
837C0748,sarasota-bradenton,13991,2010,ford,expedition,excellent,8,gas,109000,clean,automatic,4wd,full-size,SUV,black,fl,4/28/2021
5F26B409,tampa bay area,12700,2004,jeep,wrangler se,excellent,4,gas,106021,clean,manual,4wd,mid-size,offroad,black,fl,5/1/2021
C2ECA563,kennewick-pasco-richland,11995,2016,nissan,altima 2.5 s,like new,4,gas,89508,clean,automatic,fwd,mid-size,sedan,grey,wa,5/3/2021
368E889C,chicago,1999,2004,nissan,altima,fair,4,gas,155000,salvage,automatic,fwd,mid-size,sedan,silver,il,4/30/2021
40FB9C7A,rhode island,10995,2011,lexus,es350,excellent,6,gas,114000,clean,automatic,fwd,mid-size,sedan,grey,ri,4/10/2021
C7B3775E,greensboro,9200,2003,ford,e350,excellent,8,gas,82000,clean,automatic,rwd,full-size,van,white,nc,4/16/2021
EC4DE0E4,ithaca,3000,2000,subaru,forester,good,4,gas,95000,clean,manual,fwd,mid-size,other,black,ny,4/25/2021
9FD646A6,omaha / council bluffs,20999,2009,ford,super duty f-350 srw,excellent,8,diesel,84954,clean,automatic,4wd,full-size,pickup,white,ia,5/4/2021
D34575D5,stockton,6950,2008,nissan,altima,excellent,6,gas,100246,clean,automatic,fwd,compact,coupe,grey,ca,4/17/2021
CA12081C,albuquerque,0,2016,chevrolet,silverado 1500,good,6,gas,105000,clean,automatic,rwd,full-size,truck,silver,nm,4/30/2021
9B136589,raleigh / durham / CH,4450,2010,nissan,altima,excellent,4,gas,119000,rebuilt,automatic,fwd,mid-size,sedan,white,nc,4/16/2021
3EDFEC72,muskegon,65999,2020,chevrolet,silverado 2500hd,good,8,gas,49380,clean,automatic,4wd,full-size,truck,black,mi,4/6/2021
88D10B83,orlando,13950,2017,toyota,corolla se,like new,4,gas,61929,clean,automatic,fwd,full-size,sedan,grey,fl,5/2/2021
5128BDC6,hawaii,47000,2019,chevrolet,camaro 2ss,excellent,8,gas,7000,clean,automatic,rwd,compact,convertible,blue,hi,5/3/2021
931EEDEA,salem,21908,2019,toyota,camry le,excellent,4,gas,13165,clean,automatic,fwd,mid-size,sedan,white,or,4/27/2021
9C49DC3A,savannah / hinesville,2500,2003,ram,1500,fair,8,gas,121111,clean,automatic,rwd,compact,truck,custom,ga,4/27/2021
7B3CA4CB,vermont,27900,2015,ford,f-150,excellent,6,gas,72928,clean,automatic,4wd,mid-size,truck,white,vt,4/20/2021
3D125E5B,omaha / council bluffs,59990,2017,ford,super duty f-550 drw,good,8,diesel,31337,clean,automatic,4wd,full-size,truck,white,ia,4/23/2021
BFF8D18F,buffalo,10700,2013,chevrolet,equinox,excellent,6,gas,61800,lien,automatic,fwd,full-size,SUV,grey,ny,5/4/2021
29735CF5,chico,1000,2003,honda,civic hybrid,fair,4,gas,105000,clean,automatic,fwd,compact,sedan,silver,ca,4/7/2021
F758F47D,grand rapids,12800,2007,cadillac,escalade,good,8,gas,109000,clean,automatic,4wd,full-size,SUV,white,mi,4/27/2021
2938D901,lewiston / clarkston,4000,1946,ford,f-150,fair,8,gas,100000,clean,automatic,fwd,full-size,pickup,green,id,4/13/2021
